BSFC	Blue Star Foods	Packaged Foods	"54.31M
"	0
BSGA	Blue Safari Group Acquisition	Blank Check / SPAC	"75.22M
"	0
BSGM	BioSig Technologies	Health Care Equipment & Supplies	"64.97M
"	0
BSIG	BrightSphere Investment Group	Capital Markets	"983.86M
"	0
BSKY	Big Sky Growth Partners	Blank Check / SPAC	"362.62M
"	0
BSM	Black Stone Minerals	"""Oil, Gas & Consumable Fuels"""	"2.46B
"	0
BSMX	Banco Santander Mexico	Banks	"7.67B
"	0
BSQR	Bsquare	Software	"33.39M
"	0
BSRR	Sierra Bancorp	Banks	"406.49M
"	0
BSVN	Bank7	Banks	"217.17M
"	0
BSX	Boston Scientific	Health Care Equipment & Supplies	"61.99B
"	0
BSY	Bentley Systems	Software-Application	"11.39B
"	0
BTAI	BioXcel Therapeutics	Biotechnology	"472.59M
"	0
BTAQ	Burgundy Technology Acquisition	Blank Check / SPAC	"443.42M
"	0
BTBD	BT Brands	Restaurants	"15.73M
"	0
BTBT	Bit Digital	Software	"274.97M
"	0
BTCM	BIT Mining	Information Technology Services	"223.67M
"	0
BTCS	BTCS Inc.	Capital Markets	"54.77M
"	0
BTCY	Biotricity	Medical Devices	"165.08M
"	0
BTG	B2Gold	Metals & Mining	"3.88B
"	0
BTNB	Bridgetown 2 Holdings	Blank Check / SPAC	"370.01M
"	0
BTRS	BTRS Holdings	Software-Application	"1.07B
"	0
BTTR	Better Choice Company	Packaged Foods	"67.99M
"	0
BTTX	Better Therapeutics	Biotechnology	"88.73M
"	0
BTWN	Bridgetown Holdings	Blank Check / SPAC	"730.35M
"	0
BTX	Brooklyn ImmunoTherapeutics	Biotechnology	"140.00M
"	0
BUR	Burford Capital	Asset Management	"2.12B
"	0
BURL	Burlington Stores	Specialty Retail	"15.91B
"	0
BUSE	First Busey	Banks	"1.56B
"	0
BV	BrightView Holdings	Commercial Services & Supplies	"1.41B
"	0
BVH	Bluegreen Vacations Holding	"""Hotels, Restaurants & Leisure"""	"623.73M
"	0
BVN	Compania de Minas Buenaventura SAA	Metals & Mining	"1.95B
"	0
BVS	Bioventus	Medical Devices	"772.10M
"	0
BVXV	BiondVax Pharmaceuticals	Pharmaceuticals	"25.87M
"	0
BWA	BorgWarner	Auto Components	"10.72B
"	0
BWAC	Better World Acquisition	Blank Check / SPAC	"164.44M
"	0
BWAQ	Blue World Acquisition	Blank Check / SPAC	"113.01M
"	0
BWAY	Brainsway	Health Care Equipment & Supplies	"129.83M
"	0
BWEN	Broadwind	Electrical Equipment	"36.04M
"	0
BWFG	Bankwell Financial Group	Banks	"265.85M
"	0
BWMN	Bowman Consulting Group	Consulting Services	"222.84M
"	0
BWMX	Betterware de Mexico	Internet & Direct Marketing Retail	"822.43M
"	0
BWXT	BWX Technologies	Aerospace & Defense	"4.08B
"	0
BX	Blackstone	Capital Markets	"98.79B
"	0
BXC	BlueLinx Holdings	Trading Companies & Distributors	"725.87M
"	0
BXMT	Blackstone Mortgage Trust	Mortgage Real Estate Investment Trus...	"5.24B
"	0
BXP	Boston Properties	Equity Real Estate Investment Trusts...	"18.08B
"	0
BXRX	Baudax Bio	Biotechnology	"17.58M
"	0
BYD	Boyd Gaming	"""Hotels, Restaurants & Leisure"""	"6.87B
"	0
BYN	Banyan Acquisition	Blank Check / SPAC	"269.73M
"	0
BYRN	Byrna Technologies	Aerospace & Defense	"269.43M
"	0
BYSI	BeyondSpring	Biotechnology	"132.30M
"	0
BYTS	BYTE Acquisition	Blank Check / SPAC	"403.30M
"	0
BZ	Kanzhun	Staffing & Employment Services	"12.71B
"	0
BZFD	BuzzFeed	Entertainment	"267.94M
"	0
BZH	Beazer Homes USA	Household Durables	"566.59M
"	0
BZUN	Baozun	Internet & Direct Marketing Retail	"965.98M
"	0
CAAP	Corporacion America Airports	Transportation Infrastructure	"884.97M
"	0
CAAS	China Automotive Systems	Auto Components	"84.69M
"	0
CABA	Cabaletta Bio	Biotechnology	"86.13M
"	0
CABO	Cable One	Media	"9.39B
"	0
CAC	Camden National	Banks	"727.27M
"	0
CACC	Credit Acceptance	Consumer Finance	"7.65B
"	0
CACI	CACI International	IT Services	"5.77B
"	0
CADE	Cadence Bank	Banks	"6.05B
"	0
CADL	Candel Therapeutics	Biotechnology	"128.53M
"	0
CAE	CAE Inc.	Aerospace & Defense	"8.18B
"	0
CAG	Conagra Brands	Food Products	"16.78B
"	0
CAH	Cardinal Health	Health Care Providers & Services	"14.46B
"	0
CAL	Caleres	Specialty Retail	"925.97M
"	0
CALA	Calithera Biosciences	Biotechnology	"43.66M
"	0
CALB	California BanCorp	Banks	"181.09M
"	0
CALM	Cal-Maine Foods	Food Products	"1.91B
"	0
CALT	Calliditas Therapeutics AB	Biotechnology	"557.18M
"	0
CALX	Calix	Communications Equipment	"3.32B
"	0
CAMP	CalAmp	Communications Equipment	"215.06M
"	0
CAMT	Camtek	Semiconductors & Semiconductor Equipment	"1.57B
"	0
CANF	Can-Fite BioPharma	Biotechnology	"32.35M
"	0
CANG	Cango	Internet & Direct Marketing Retail	"503.54M
"	0
CANO	Cano Health	Diversified Financial Services	"1.08B
"	0
CAPL	CrossAmerica Partners LP	"""Oil, Gas & Consumable Fuels"""	"846.50M
"	0
CAPR	Capricor Therapeutics	Biotechnology	"88.63M
"	0
CARA	Cara Therapeutics	Pharmaceuticals	"612.10M
"	0
CARE	Carter Bankshares	Banks	"404.39M
"	0
CARG	Cargurus	Interactive Media & Services	"3.89B
"	0
CARR	Carrier Global	Building Products	"40.77B
"	0
CARS	Cars.com	Interactive Media & Services	"1.10B
"	0
CARV	Carver Bancorp	Thrifts & Mortgage Finance	"29.30M
"	0
CAS	Cascade Acquisition	Blank Check / SPAC	"287.50M
"	0
CASA	Casa Systems	Communications Equipment	"381.87M
"	0
CASI	CASI Pharmaceuticals	Biotechnology	"93.87M
"	0
CASS	Cass Information Systems	IT Services	"577.92M
"	0
CASY	Casey's General Stores	Food & Staples Retailing	"7.00B
"	0
CATO	The Cato Corporation	Specialty Retail	"367.82M
"	0
CATY	Cathay General Bancorp	Banks	"3.52B
"	0
CB	Chubb	Insurance	"83.20B
"	0
CBAN	Colony Bankcorp	Banks	"229.35M
"	0
CBAT	CBAK Energy Technology	Electrical Equipment	"109.11M
"	0
CBAY	CymaBay Therapeutics	Pharmaceuticals	"254.85M
"	0
CBFV	CB Financial Services	Banks	"131.01M
"	0
CBIO	Catalyst Biosciences	Biotechnology	"19.02M
"	0
CBL	CBL Properties	Equity Real Estate Investment Trusts...	"5.76B
"	0
CBNK	Capital Bancorp	Banks	"349.48M
"	0
CBRE	CBRE Group	Real Estate Management & Development	"33.98B
"	0
CBRG	Chain Bridge I	Blank Check / SPAC	"284.05M
"	0
CBSH	Commerce Bancshares	Banks	"8.53B
"	0
CBT	Cabot	Chemicals	"3.52B
"	0
CBTX	"""CBTX, Inc."""	Banks	"723.38M
"	0
CBU	Community Bank System	Banks	"3.86B
"	0
CBZ	"""CBIZ, Inc."""	Professional Services	"2.02B
"	0
CC	The Chemours Company	Chemicals	"5.47B
"	0
CCAC	CITIC Capital Acquisition	Blank Check / SPAC	"251.16M
"	0
CCAI	Cascadia Acquisition	Blank Check / SPAC	"182.06M
"	0
CCAP	Crescent Capital BDC	Asset Management	"612.60M
"	0
CCB	Coastal Financial	Banks	"640.55M
"	0
CCBG	Capital City Bank Group	Banks	"466.56M
"	0
CCCC	C4 Therapeutics	Biotechnology	"1.24B
"	0
CCCS	CCC Intelligent Solutions Holdings	Software-Infrastructure	"6.30B
"	0
CCEL	Cryo-Cell International	Health Care Providers & Services	"80.18M
"	0
CCEP	Coca-Cola Europacific Partners	Beverages	"26.60B
"	0
CCF	Chase	Chemicals	"908.98M
"	0
CCI	Crown Castle International	Equity Real Estate Investment Trusts...	"78.04B
"	0
CCJ	Cameco	"""Oil, Gas & Consumable Fuels"""	"8.05B
"	0
CCK	Crown Holdings	Containers & Packaging	"14.84B
"	0
CCL	Carnival	"""Hotels, Restaurants & Leisure"""	"24.52B
"	0
CCM	Concord Medical Services Holding	Health Care Providers & Services	"78.15M
"	0
CCMP	CMC Materials	Semiconductors & Semiconductor Equipment	"5.31B
"	0
CCNC	Code Chain New Continent	Coking Coal	"48.38M
"	0
CCNE	CNB Financial	Banks	"447.50M
"	0
CCO	Clear Channel Outdoor Holdings	Media	"1.45B
"	0
CCOI	Cogent Communications Holdings	Diversified Telecommunication Services	"3.10B
"	0
CCRD	CoreCard	Software	"317.04M
"	0
CCRN	Cross Country Healthcare	Health Care Providers & Services	"835.32M
"	0
CCTS	Cactus Acquisition 1	Blank Check / SPAC	"135.07M
"	0
CCU	"""Compania Cervecerias Unidas,"""	Beverages	"3.06B
"	0
CCV	Churchill Capital Corp V	Blank Check / SPAC	"614.37M
"	0
CCVI	Churchill Capital VI	Blank Check / SPAC	"676.89M
"	0
CCXI	ChemoCentryx	Biotechnology	"1.94B
"	0
CDAK	Codiak BioSciences	Biotechnology	"140.46M
"	0
CDAQ	Compass Digital Acquisition	Blank Check / SPAC	"241.25M
"	0
CDAY	Ceridian HCM Holding	Software	"11.83B
"	0
CDE	Coeur Mining	Metals & Mining	"1.25B
"	0
CDEV	Centennial Resource Development	"""Oil, Gas & Consumable Fuels"""	"2.37B
"	0
CDK	CDK Global	Software	"5.16B
"	0
CDLX	Cardlytics	Media	"2.33B
"	0
CDMO	Avid Bioservices	Biotechnology	"1.17B
"	0
CDNA	CareDx	Biotechnology	"2.22B
"	0
CDNS	Cadence Design Systems	Software	"42.02B
"	0
CDR	Cedar Realty Trust	Equity Real Estate Investment Trusts...	"317.88M
"	0
CDRE	Cadre Holdings	Aerospace & Defense	"737.64M
"	0
CDTX	Cidara Therapeutics	Biotechnology	"60.02M
"	0
CDW	CDW Corporation	"""Electronic Equipment, Instruments & C..."""	"25.71B
"	0
CDXC	ChromaDex	Life Sciences Tools & Services	"195.31M
"	0
CDXS	Codexis	Life Sciences Tools & Services	"1.34B
"	0
CDZI	Cadiz	Water Utilities	"118.74M
"	0
CEA	China Eastern Airlines	Airlines	"14.35B
"	0
CECE	CECO Environmental	Commercial Services & Supplies	"224.16M
"	0
CEI	Camber Energy	"""Oil, Gas & Consumable Fuels"""	"152.50M
"	0
CEIX	CONSOL Energy	"""Oil, Gas & Consumable Fuels"""	"825.80M
"	0
CELC	Celcuity	Biotechnology	"169.93M
"	0
CELP	Cypress Environmental Partners	Energy Equipment & Services	"12.34M
"	0
CELU	Celularity	Biotechnology	"569.17M
"	0
CELZ	Creative Medical Technology Holdings	Biotechnology	"12.72M
"	0
CEMI	Chembio Diagnostics	Health Care Equipment & Supplies	"30.65M
"	0
CENN	Cenntro Electric Group	Auto Manufacturers	"444.14M
"	0
CENQ	CENAQ Energy	Blank Check / SPAC	"216.54M
"	0
CENT	Central Garden & Pet Company	Household Products	"2.45B
"	0
CENTA	Central Garden & Pet Company	Household Products	"2.46B
"	0
CENX	Century Aluminum Company	Metals & Mining	"1.43B
"	0
CEPU	Central Puerto	Independent Power and Renewable Elect...	"525.48M
"	0
CEQP	Crestwood Equity Partners LP	"""Oil, Gas & Consumable Fuels"""	"1.77B
"	0
CERE	Cerevel Therapeutics Holdings	Biotechnology	"3.99B
"	0
CERN	Cerner	Health Care Technology	"26.73B
"	0
CERS	Cerus	Health Care Equipment & Supplies	"919.90M
"	0
CERT	Certara	Biotechnology	"4.27B
"	0
CETX	Cemtrex	"""Electronic Equipment, Instruments & C..."""	"17.51M
"	0
CEVA	"""CEVA, Inc."""	Semiconductors & Semiconductor Equipment	"839.47M
"	0
CF	CF Industries Holdings	Chemicals	"15.97B
"	0
CFB	CrossFirst Bankshares	Banks	"779.45M
"	0
CFBK	CF Bankshares	Thrifts & Mortgage Finance	"137.81M
"	0
CFFE	CF Acquisition VIII	Blank Check / SPAC	"316.95M
"	0
CFFI	C&F Financial	Banks	"183.78M
"	0
CFFS	CF Acquisition VII	Blank Check / SPAC	"222.36M
"	0
CFG	Citizens Financial Group	Banks	"22.35B
"	0
CFIV	CF Acquisition IV	Blank Check / SPAC	"621.03M
"	0
CFLT	Confluent	Software-Infrastructure	"18.13B
"	0
CFMS	Conformis	Health Care Equipment & Supplies	"116.63M
"	0
CFR	Cullen/Frost Bankers	Banks	"9.10B
"	0
CFRX	ContraFect	Biotechnology	"115.24M
"	0
CFSB	CFSB Bancorp	Banks-Regional	"67.43M
"	0
CFVI	CF Acquisition VI	Blank Check / SPAC	"455.73M
"	0
CFX	Colfax	Machinery	"6.57B
"	0
CG	The Carlyle Group	Capital Markets	"18.79B
"	0
CGA	China Green Agriculture	Chemicals	"70.28M
"	0
CGAU	Centerra Gold	Gold	"2.44B
"	0
CGBD	TCG BDC	Capital Markets	"760.39M
"	0
CGEM	Cullinan Oncology	Biotechnology	"610.27M
"	0
CGEN	Compugen	Life Sciences Tools & Services	"300.43M
"	0
CGNT	Cognyte Software	Software-Infrastructure	"753.19M
"	0
CGNX	Cognex	"""Electronic Equipment, Instruments & C..."""	"11.74B
"	0
CGRN	Capstone Green Energy	Specialty Industrial Machinery	"57.11M
"	0
CGTX	Cognition Therapeutics	Biotechnology	"97.84M
"	0
CHAA	Catcha Investment	Blank Check / SPAC	"364.50M
"	0
CHCI	Comstock Holding Companies	Household Durables	"38.78M
"	0
CHCO	City Holding Company	Banks	"1.20B
"	0
CHCT	Community Healthcare Trust	Equity Real Estate Investment Trusts...	"1.11B
"	0
CHDN	Churchill Downs	"""Hotels, Restaurants & Leisure"""	"8.05B
"	0
CHE	Chemed	Health Care Providers & Services	"7.20B
"	0
CHEF	The Chefs' Warehouse	Food & Staples Retailing	"1.11B
"	0
CHEK	Check-Cap	Health Care Equipment & Supplies	"56.88M
"	0
CHH	Choice Hotels International	"""Hotels, Restaurants & Leisure"""	"8.04B
"	0
CHK	Chesapeake Energy	"""Oil, Gas & Consumable Fuels"""	"8.02B
"	0
CHKP	Check Point Software Technologies	Software	"16.08B
"	0
CHMG	Chemung Financial	Banks	"215.27M
"	0
CHNR	China Natural Resources	Metals & Mining	"34.81M
"	0
CHPM	CHP Merger	Shell Companies	"380.63M
"	0
CHRA	Charah Solutions	Commercial Services & Supplies	"175.39M
"	0
CHRS	Coherus BioSciences	Biotechnology	"969.80M
"	0
CHRW	C.H. Robinson Worldwide	Air Freight & Logistics	"13.59B
"	0
CHS	Chico's FAS	Specialty Retail	"583.30M
"	0
CHT	Chunghwa Telecom Co.	Diversified Telecommunication Services	"33.66B
"	0
CHTR	Charter Communications	Media	"103.11B
"	0
CHUY	Chuy's Holdings	"""Hotels, Restaurants & Leisure"""	"507.72M
"	0
CHWA	CHW Acquisition	Blank Check / SPAC	"153.42M
"	0
CHX	ChampionX	Energy Equipment & Services	"4.82B
"	0
CI	Cigna	Health Care Providers & Services	"74.87B
"	0
CIAN	Cian PLC	Real Estate Services	"628.98M
"	0
CIB	Bancolombia	Banks	"8.95B
"	0
CIDM	Cinedigm	Entertainment	"153.24M
"	0
CIEN	Ciena	Communications Equipment	"10.24B
"	0
CIFR	Cipher Mining	Capital Markets	"760.53M
"	0
CIG	Companhia Energetica de Minas Gerais	Electric Utilities	"4.71B
"	0
CIGI	Colliers International Group	Real Estate Management & Development	"6.47B
"	0
CIIG	CIIG Capital Partners II	Blank Check / SPAC	"303.19M
"	0
CINC	CinCor Pharma	Biotechnology	"693.86M
"	0
CINF	Cincinnati Financial	Insurance	"19.07B
"	0
CING	Cingulate	Biotechnology	"21.15M
"	0
CINR	Ciner Resources LP	Chemicals	"429.48M
"	0
CINT	CI&T Inc.	Software-Infrastructure	"1.72B
"	0
CIO	City Office REIT	Equity Real Estate Investment Trusts...	"771.35M
"	0
CION	CĪON Investment	Asset Management	"0.00
"	0
CIR	CIRCOR International	Machinery	"546.16M
"	0
CITE	Cartica Acquisition	Blank Check / SPAC	"251.25M
"	0
CIVB	Civista Bancshares	Banks	"360.42M
"	0
CIVI	Civitas Resources	Oil & Gas E&P	"4.66B
"	0
CIX	CompX International	Commercial Services & Supplies	"273.79M
"	0
CIXX	CI Financial	Asset Management	"3.73B
"	0
CIZN	Citizens Holding Company	Banks	"100.44M
"	0
CJJD	China Jo-Jo Drugstores	Food & Staples Retailing	"14.89M
"	0
CKPT	Checkpoint Therapeutics	Biotechnology	"213.62M
"	0
CKX	CKX Lands	Real Estate Management & Development	"22.34M
"	0
CLAA	Colonnade Acquisition II	Blank Check / SPAC	"400.95M
"	0
CLAQ	CleanTech Acquisition	Blank Check / SPAC	"214.55M
"	0
CLAR	Clarus	Leisure Products	"845.17M
"	0
CLAY	Chavant Capital Acquisition	Blank Check / SPAC	"98.60M
"	0
CLB	Core Laboratories	Energy Equipment & Services	"1.28B
"	0
CLBK	Columbia Financial	Thrifts & Mortgage Finance	"2.28B
"	0
CLBR	Colombier Acquisition	Blank Check / SPAC	"207.65M
"	0
CLBS	Caladrius Biosciences	Biotechnology	"46.59M
"	0
CLBT	Cellebrite DI	Software-Infrastructure	"1.17B
"	0
CLDT	Chatham Lodging Trust	Equity Real Estate Investment Trusts...	"644.23M
"	0
CLDX	Celldex Therapeutics	Biotechnology	"1.47B
"	0
CLEU	China Liberal Education Holdings	Education & Training Services	"10.68M
"	0
CLFD	Clearfield	Communications Equipment	"834.09M
"	0
CLGN	CollPlant Biotechnologies	Biotechnology	"109.91M
"	0
CLH	Clean Harbors	Commercial Services & Supplies	"5.08B
"	0
CLIM	Climate Real Impact Solutions II Acquisition	Blank Check / SPAC	"294.93M
"	0
CLIR	ClearSign Technologies	"""Electronic Equipment, Instruments & C..."""	"39.47M
"	0
CLLS	Cellectis	Biotechnology	"290.01M
"	0
CLMT	Calumet Specialty Products Partners	"""Oil, Gas & Consumable Fuels"""	"1.14B
"	0
CLNE	Clean Energy Fuels	"""Oil, Gas & Consumable Fuels"""	"1.41B
"	0
CLNN	Clene	Biotechnology	"184.44M
"	0
CLOE	Clover Leaf Capital	Blank Check / SPAC	"163.79M
"	0
CLPR	Clipper Realty	Equity Real Estate Investment Trusts...	"145.21M
"	0
CLPS	CLPS Incorporation	IT Services	"40.80M
"	0
CLPT	ClearPoint Neuro	Health Care Equipment & Supplies	"213.94M
"	0
CLR	Continental Resources	"""Oil, Gas & Consumable Fuels"""	"20.09B
"	0
CLRB	Cellectar BioSciences	Biotechnology	"38.74M
"	0
CLRM	Clarim Acquisition	Blank Check / SPAC	"349.67M
"	0
CLRO	ClearOne	Communications Equipment	"22.85M
"	0
CLS	Celestica	"""Electronic Equipment, Instruments & C..."""	"1.60B
"	0
CLSD	Clearside Biomedical	Pharmaceuticals	"116.35M
"	0
CLSK	Cleanspark	Software	"299.71M
"	0
CLSN	Celsion	Biotechnology	"40.39M
"	0
CLST	Catalyst Bancorp	Banks-Regional	"72.42M
"	0
CLVR	Clever Leaves Holdings	Drug Manufacturers-Specialty & Generic	"60.06M
"	0
CLVS	Clovis Oncology	Biotechnology	"271.66M
"	0
CLVT	Clarivate	Professional Services	"12.01B
"	0
CLW	Clearwater Paper	Paper & Forest Products	"533.72M
"	0
CLX	The Clorox Company	Household Products	"20.73B
"	0
CLXT	Calyxt	Biotechnology	"72.01M
"	0
CM	Canadian Imperial Bank of Commerce	Banks	"57.34B
"	0
CMA	Comerica	Banks	"12.42B
"	0
CMAX	CareMax	Health Information Services	"564.24M
"	0
CMBM	Cambium Networks	Communications Equipment	"672.81M
"	0
CMCA	Capitalworks Emerging Markets Acquisition	Blank Check / SPAC	"287.50M
"	0
CMCL	Caledonia Mining	Metals & Mining	"149.44M
"	0
CMCM	Cheetah Mobile	Software	"183.05M
"	0
CMCT	CIM Commercial Trust	Equity Real Estate Investment Trusts...	"180.64M
"	0
CME	CME Group	Capital Markets	"83.39B
"	0
CMI	Cummins	Machinery	"32.26B
"	0
CMLS	Cumulus Media	Media	"217.33M
"	0
CMMB	Chemomab Therapeutics	Biotechnology	"56.32M
"	0
CMP	Compass Minerals International	Metals & Mining	"1.85B
"	0
CMPO	CompoSecure	Shell Companies	"228.28M
"	0
CMPR	Cimpress	Commercial Services & Supplies	"1.73B
"	0
CMPS	COMPASS Pathways	Health Care Providers & Services	"687.31M
"	0
CMPX	Compass Therapeutics	Biotechnology	"164.20M
"	0
CMRE	Costamare	Marine	"1.64B
"	0
CMRX	Chimerix	Biotechnology	"500.33M
"	0
CMS	CMS Energy	Multi-Utilities	"18.35B
"	0
CMT	Core Molding Technologies	Chemicals	"66.44M
"	0
CMTG	Claros Mortgage Trust	REIT-Mortgage	"2.42B
"	0
CMTL	Comtech Telecommunications	Communications Equipment	"534.59M
"	0
CNA	CNA Financial	Insurance	"12.51B
"	0
CNC	Centene	Health Care Providers & Services	"44.90B
"	0
CNCE	Concert Pharmaceuticals	Biotechnology	"117.50M
"	0
CND	Concord Acquisition	Blank Check / SPAC	"353.58M
"	0
CNDA	Concord Acquisition II	Blank Check / SPAC	"303.28M
"	0
CNDB	Concord Acquisition III	Blank Check / SPAC	"359.96M
"	0
CNDT	Conduent	IT Services	"1.02B
"	0
CNET	ZW Data Action Technologies	Media	"29.26M
"	0
CNEY	CN Energy Group	Specialty Chemicals	"39.01M
"	0
CNF	CNFinance Holdings	Thrifts & Mortgage Finance	"235.24M
"	0
CNFR	Conifer Holdings	Insurance	"22.62M
"	0
CNGL	Canna-Global Acquisition	Blank Check / SPAC	"255.05M
"	0
CNHI	CNH Industrial	Machinery	"20.88B
"	0
CNI	Canadian National Railway Company	Road & Rail	"86.08B
"	0
CNK	Cinemark Holdings	Entertainment	"1.88B
"	0
CNM	Core & Main	Industrial Distribution	"4.10B
"	0
CNMD	CONMED	Health Care Equipment & Supplies	"4.07B
"	0
CNNB	Cincinnati Bancorp	Banks-Regional	"43.65M
"	0
CNO	CNO Financial Group	Insurance	"3.09B
"	0
CNOB	ConnectOne Bancorp	Banks	"1.30B
"	0
CNP	CenterPoint Energy	Multi-Utilities	"17.66B
"	0
CNQ	Canadian Natural Resources	"""Oil, Gas & Consumable Fuels"""	"61.76B
"	0
CNR	Cornerstone Building Brands	Building Products	"1.94B
"	0
CNS	Cohen & Steers	Capital Markets	"4.04B
"	0
CNSL	Consolidated Communications Holdings	Diversified Telecommunication Services	"818.73M
"	0
CNSP	CNS Pharmaceuticals	Pharmaceuticals	"16.18M
"	0
CNTA	Centessa Pharmaceuticals	Biotechnology	"856.76M
"	0
CNTB	Connect Biopharma Holdings	Biotechnology	"282.24M
"	0
CNTG	Centogene	Biotechnology	"101.30M
"	0
CNTQ	Chardan NexTech Acquisition 2	Blank Check / SPAC	"134.87M
"	0
CNTX	Context Therapeutics	Pharmaceuticals	"21.84M
"	0
CNVY	Convey Holding Parent	Health Information Services	"573.84M
"	0
CNX	CNX Resources	"""Oil, Gas & Consumable Fuels"""	"3.11B
"	0
CNXC	Concentrix	IT Services	"10.55B
"	0
CO	Global Cord Blood	Health Care Providers & Services	"505.65M
"	0
COCO	The Vita Coco Company	Beverages-Non-Alcoholic	"638.21M
"	0
COCP	Cocrystal Pharma	Pharmaceuticals	"56.53M
"	0
CODA	Coda Octopus Group	"""Electronic Equipment, Instruments & C..."""	"64.71M
"	0
CODI	Compass Diversified Holdings	Diversified Financial Services	"1.74B
"	0
CODX	Co-Diagnostics	Health Care Equipment & Supplies	"211.70M
"	0
COE	China Online Education Group	Diversified Consumer Services	"18.60M
"	0
COF	Capital One Financial	Consumer Finance	"62.29B
"	0
COFS	ChoiceOne Financial Services	Banks	"198.52M
"	0
COGT	Cogent Biosciences	Biotechnology	"303.27M
"	0
COHN	Cohen & Company	Capital Markets	"25.84M
"	0
COHR	Coherent	"""Electronic Equipment, Instruments & C..."""	"6.39B
"	0
COHU	"""Cohu, Inc."""	Semiconductors & Semiconductor Equipment	"1.58B
"	0
COKE	Coca-Cola Consolidated	Beverages	"5.31B
"	0
COLB	Columbia Banking System	Banks	"2.73B
"	0
COLI	Colicity	Blank Check / SPAC	"419.17M
"	0
COLL	Collegium Pharmaceutical	Pharmaceuticals	"623.62M
"	0
COLM	Columbia Sportswear Company	"""Textiles, Apparel & Luxury Goods"""	"6.05B
"	0
COMM	CommScope Holding Company	Communications Equipment	"1.96B
"	0
COMP	Compass	Software-Application	"3.54B
"	0
COMS	ComSovereign Holding	Telecom Services	"43.85M
"	0
CONE	CyrusOne	Equity Real Estate Investment Trusts...	"11.66B
"	0
CONN	Conn's	Specialty Retail	"723.75M
"	0
CONX	CONX Corp.	Blank Check / SPAC	"920.45M
"	0
COO	The Cooper Companies	Health Care Equipment & Supplies	"19.55B
"	0
COOK	Traeger	"""Furnishings, Fixtures & Appliances"""	"1.22B
"	0
COOL	Corner Growth Acquisition	Blank Check / SPAC	"488.25M
"	0
CORR	CorEnergy Infrastructure Trust	Equity Real Estate Investment Trusts...	"55.30M
"	0
CORS	Corsair Partnering	Blank Check / SPAC	"260.55M
"	0
CORT	Corcept Therapeutics	Pharmaceuticals	"2.17B
"	0
CORZ	Core Scientific	Software-Infrastructure	"1.14B
"	0
COTY	Coty Inc.	Personal Products	"7.01B
"	0
COUP	Coupa Software	Software	"10.03B
"	0
COUR	Coursera	Education & Training Services	"2.93B
"	0
COVA	COVA Acquisition	Blank Check / SPAC	"363.37M
"	0
COWN	Cowen	Capital Markets	"885.19M
"	0
CPAA	Conyers Park III Acquisition	Blank Check / SPAC	"437.77M
"	0
CPAC	Cementos Pacasmayo	Construction Materials	"556.54M
"	0
CPAR	Catalyst Partners Acquisition	Blank Check / SPAC	"432.61M
"	0
CPB	Campbell Soup Company	Food Products	"13.32B
"	0
CPE	Callon Petroleum Company	"""Oil, Gas & Consumable Fuels"""	"3.13B
"	0
CPF	Central Pacific Financial	Banks	"802.05M
"	0
CPG	Crescent Point Energy	"""Oil, Gas & Consumable Fuels"""	"3.91B
"	0
CPHC	Canterbury Park Holding	"""Hotels, Restaurants & Leisure"""	"90.55M
"	0
CPHI	China Pharma Holdings	Pharmaceuticals	"19.83M
"	0
CPIX	Cumberland Pharmaceuticals	Pharmaceuticals	"52.08M
"	0
CPK	Chesapeake Utilities	Gas Utilities	"2.36B
"	0
CPLG	CorePoint Lodging	Equity Real Estate Investment Trusts...	"928.44M
"	0
CPNG	Coupang	Internet Retail	"37.31B
"	0
CPOP	Pop Culture Group	Advertising Agencies	"37.76M
"	0
CPRI	Capri Holdings	"""Textiles, Apparel & Luxury Goods"""	"9.25B
"	0
CPRT	Copart	Commercial Services & Supplies	"30.70B
"	0
CPRX	Catalyst Pharmaceuticals	Biotechnology	"600.15M
"	0
CPS	Cooper-Standard Holdings	Auto Components	"347.81M
"	0
CPSH	CPS Technologies	"""Electronic Equipment, Instruments & C..."""	"45.78M
"	0
CPSI	Computer Programs & Systems	Health Care Technology	"410.16M
"	0
CPSS	Consumer Portfolio Services	Consumer Finance	"253.73M
"	0
CPT	Camden Property Trust	Equity Real Estate Investment Trusts...	"16.30B
"	0
CPTK	Crown PropTech Acquisitions	Blank Check / SPAC	"340.34M
"	0
CPUH	Compute Health Acquisition	Blank Check / SPAC	"1.05B
"	0
CQP	Cheniere Energy Partners LP	"""Oil, Gas & Consumable Fuels"""	"24.28B
"	0
CR	Crane Co.	Machinery	"6.09B
"	0
CRAI	CRA International	Professional Services	"645.12M
"	0
CRBP	Corbus Pharmaceuticals Holdings	Biotechnology	"58.86M
"	0
CRBU	Caribou Biosciences	Biotechnology	"668.73M
"	0
CRC	California Resources	"""Oil, Gas & Consumable Fuels"""	"3.64B
"	0
CRCT	Cricut	Computer Hardware	"4.33B
"	0
CRD.A	Crawford & Company	Insurance Brokers	"396.21M
"	0
CRD.B	Crawford & Company	Insurance Brokers	"392.11M
"	0
CRDF	Cardiff Oncology	Biotechnology	"148.55M
"	0
CRDL	Cardiol Therapeutics	Drug Manufacturers-Specialty & Generic	"112.66M
"	0
